Location,Latitude,Longitude
Minnehaha,45.66,-122.62
Mirrormont,47.46,-121.99
Moclips,47.23,-124.2
Monroe,47.86,-121.99
Monroe North,47.88,-121.99
Montesano,47.01,-123.59
Morton,46.56,-122.28
Moses Lake,47.12,-119.27
Moses Lake North,47.19,-119.32
Mossyrock,46.53,-122.49
Mount Vernon,48.42,-122.31
Mount Vista,45.74,-122.63
Mountlake Terrace,47.79,-122.31
Moxee,46.56,-120.39
Mukilteo,47.92,-122.31
Naches town,46.73,-120.69
Napavine,46.59,-122.9
Naselle,46.37,-123.8
Navy Yard,47.55,-122.67
Neah Bay,48.36,-124.61
Neilton,47.4,-123.88
Nespelem Community,48.17,-119.02
Nespelem town,48.17,-118.97
Newcastle,47.53,-122.16
Newport,48.18,-117.05
Nile,46.84,-120.95
Nisqually Indian Community,47.02,-122.67
Nooksack,48.93,-122.32
Normandy Park,47.43,-122.36
North Bend,47.49,-121.77
North Bonneville,45.64,-121.97
North Fort Lewis,47.12,-122.6
North Lynnwood,47.85,-122.28
North Marysville,48.11,-122.15
North Omak,48.44,-119.45
North Puyallup,47.2,-122.27
North Sultan,47.88,-121.83
North Yelm,46.96,-122.6
Northport town,48.92,-117.78
Northwest Stanwood,48.26,-122.35
Oak Harbor,48.3,-122.63
Oakesdale town,47.13,-117.25
Oakville,46.84,-123.23
Ocean,47.08,-124.16
Ocean Park,46.5,-124.04
Ocean Shores,46.97,-124.15
Odessa town,47.33,-118.69
Okanogan,48.37,-119.58
Olympia,47.04,-122.9
Omak,48.42,-119.52
Onalaska,46.58,-122.71
Orchards,45.69,-122.53
Orient,48.86,-118.21
Oroville,48.94,-119.43
Orting,47.1,-122.21
Oso,48.28,-121.92
Othello,46.82,-119.17
Otis Orchards-East Farms,47.7,-117.09
Outlook,46.33,-120.09
Oyehut,47.02,-124.16
Pacific Beach,47.22,-124.2
Pacific,47.26,-122.25
Packwood,46.61,-121.67
Palouse,46.91,-117.08
Parker,46.5,-120.47
Parkland,47.14,-122.44
Parkwood,47.53,-122.6
Pasco,46.25,-119.13
Pateros,48.06,-119.9
Pe Ell town,46.57,-123.3
Peaceful Valley,48.95,-122.14
Picnic Point,47.87,-122.31
Pine Grove,48.65,-118.68
Point Roberts,48.99,-123.06
Pomeroy,46.47,-117.6
Port Angeles,48.12,-123.45
Port Angeles East,48.11,-123.37
Port Gamble Tribal Comunity,47.85,-122.56
Port Hadlock-Irondale,48.03,-122.79
Port Ludlow,47.91,-122.69
Port Orchard,47.52,-122.66
Port Townsend,48.12,-122.78
Porter,46.95,-123.27
Poulsbo,47.74,-122.64
Prairie Heights,47.15,-122.1
Prairie Ridge,47.14,-122.14
Prescott,46.3,-118.31
Prosser,46.21,-119.77
Puget Island,46.17,-123.38
Pullman,46.73,-117.16
Purdy,47.39,-122.61
Puyallup,47.18,-122.29
Queets,47.53,-124.34
Qui-nai-elt Village,47.25,-124.19
Quilcene,47.84,-122.91
Quincy,47.23,-119.85
Raft Island,47.33,-122.67
Rainier,46.89,-122.69
Ravensdale,47.36,-121.97
Raymond,46.68,-123.74
Reardan town,47.67,-117.88
Redmond,47.68,-122.12
Renton,47.48,-122.19
Republic,48.65,-118.73
Richland,46.29,-119.29
Ridgefield,45.81,-122.71
Ritzville,47.13,-118.38
River Road,48.07,-123.13
Riverbend,47.47,-121.75
Riverside town,48.5,-119.51
Riverton,47.49,-122.31
Rochester,46.83,-123.07
Rock Island,47.37,-120.14
Rockford town,47.45,-117.13
Rockport,48.49,-121.61
Rocky Point,47.59,-122.67
Ronald,47.23,-121.03
Roosevelt,45.75,-120.22
Rosalia town,47.24,-117.38
Rosburg,46.31,-123.63
Rosedale,47.35,-122.64
Roslyn,47.25,-121.1
Roy,47,-122.54
Royal,46.9,-119.61
Ruston town,47.3,-122.51
Ryderwood,46.37,-123.04
Salmon Creek,45.71,-122.66
Sammamish,47.6,-122.04
Santiago,47.3,-124.23
Satsop,47.02,-123.47
Seabeck,47.64,-122.82
SeaTac,47.44,-122.3
Seattle,47.62,-122.35
Sedro-Woolley,48.51,-122.23
Sekiu,48.26,-124.3
Selah,46.65,-120.54
Sequim,48.07,-123.09
Shadow Lake,47.4,-122.08
Shelton,47.22,-123.11
Shoreline,47.76,-122.34
Silvana,48.2,-122.25
Silver Firs,47.86,-122.15
Silverdale,47.67,-122.68
Sisco Heights,48.12,-122.11
Skamokawa Valley,46.3,-123.42
Skokomish,47.33,-123.16
Skykomish town,47.71,-121.36
Snohomish,47.93,-122.1
Snoqualmie,47.53,-121.84
Snoqualmie Pass,47.4,-121.41
Soap Lake,47.39,-119.49
South Bend,46.67,-123.8
South Cle Elum town,47.19,-120.95
South Creek,47,-122.39
South Hill,47.12,-122.28
South Prairie town,47.14,-122.09
South Wenatchee,47.39,-120.28
Southworth,47.51,-122.53
Spanaway,47.1,-122.42
Spangle,47.43,-117.38
Spokane,47.67,-117.42
Spokane Valley,47.66,-117.23
Sprague,47.3,-117.98
Springdale town,48.06,-117.75
St. John town,47.09,-117.59
Stansberry Lake,47.38,-122.72
Stanwood,48.24,-122.34
Starbuck town,46.52,-118.13
Startup,47.87,-121.75
Steilacoom town,47.17,-122.59
Steptoe,47.01,-117.35
Stevenson,45.69,-121.89
Sudden Valley,48.72,-122.35
